date,location,indicator,min,median,mean,sd,max
2019-10-10,uMoyo,pm2.5,2.9,6.3,27.750202429149798,41.07884781446205,217.7
2019-10-11,Administration,pm10,32.1,46.5,50.653754940711465,13.857157329595704,106.15
2019-10-11,Administration,pm2.5,18.9,24.85,27.148616600790515,7.349965450682831,54.7
2019-10-11,Guardian Shelter,pm10,19.25,85.75,160.48174603174604,166.5476640679808,820.55
2019-10-11,Guardian Shelter,pm2.5,0,44.4,62.33754940711462,69.93852979242786,375.2
2019-10-11,Lighthouse Clinic,pm10,27.45,39.225,39.87755905511811,5.13841499323904,56.8
2019-10-11,Lighthouse Clinic,pm2.5,15.95,18.5,19.211417322834645,2.3686372141023937,29.85
2019-10-11,Lions Sight,pm10,12.8,37,34.83467741935484,10.352407692441135,56.8
2019-10-11,Lions Sight,pm2.5,7.8,17.125,15.981451612903225,4.389916891452758,29.85
2019-10-11,Malaria,pm10,29.95,41,41.63897637795276,6.172770799512429,64
2019-10-11,Malaria,pm2.5,22.05,26.1,26.565748031496064,2.8563997958914022,37
2019-10-11,Mercy James,pm10,34.5,100.95,145.94762845849803,130.4896745835658,916.95
2019-10-11,Mercy James,pm2.5,19.9,48.675,71.9738188976378,65.5786346737608,474.15
2019-10-11,Ward 6B,pm10,14.95,69.125,127.43586956521739,122.92100329319577,515.55
2019-10-11,Ward 6B,pm2.5,11,43.400000000000006,68.77282608695653,61.6655215872316,278.4
2019-10-11,uMoyo,pm10,30.5,40.425,41.38720472440945,6.238005380558976,64
2019-10-11,uMoyo,pm2.5,15.7,22.8,22.876181102362203,5.398350427182478,37
2019-10-12,Administration,pm10,29.95,44.6,44.23740157480315,6.313676317053263,64
2019-10-12,Administration,pm2.5,22.05,25.7,26.053937007874016,2.0642458479835906,37
2019-10-12,Guardian Shelter,pm10,25.75,108.69999999999999,162.5795634920635,147.10050000120842,916.95
2019-10-12,Guardian Shelter,pm2.5,16.6,64.75,96.68083003952569,90.6326078257292,548.85
2019-10-12,Lighthouse Clinic,pm10,12,36.875,41.14330708661417,23.57769375437068,218.9
2019-10-12,Lighthouse Clinic,pm2.5,4.6,18.375,24.22007874015748,22.801348912876623,195.95
2019-10-12,Lions Sight,pm10,27.45,42.225,43.374212598425196,7.672523893435245,73.4
2019-10-12,Lions Sight,pm2.5,16.35,20.55,20.419488188976377,1.8647881689027608,24.5
2019-10-12,Malaria,pm10,11.7,33.75,33.989816933638444,11.339692626587919,58.6
2019-10-12,Malaria,pm2.5,5.8,8.9,11.995766590389016,7.204236245513803,29.5
2019-10-12,Mercy James,pm10,22.85,144.3,170.5301724137931,119.94895304572975,663.1
2019-10-12,Mercy James,pm2.5,12.25,53.974999999999994,64.61831896551725,45.0047193121494,286.5
2019-10-12,Ward 6B,pm10,29.95,43,61.46003937007874,60.0942940508398,372.65
2019-10-12,Ward 6B,pm2.5,22.05,26.65,34.87322834645669,25.191776526405345,168.95
2019-10-12,uMoyo,pm10,27.45,42.225,43.374212598425196,7.672523893435245,73.4
2019-10-12,uMoyo,pm2.5,16.35,20.55,20.419488188976377,1.8647881689027608,24.5
2019-10-13,Administration,pm10,36.3,46.3,47.40537634408602,6.351735078405599,72.35
