date,location,min,max
2019-10-22,Guardian Shelter,1.1343183735202582,2.3232420003832153
2019-10-22,Lighthouse Clinic,2.694414019715224,5.0837696335078535
2019-10-22,Lions Sight,2.7685643564356437,4.200487507617307
2019-10-22,Malaria,2.0344444444444445,2.39924822123775
2019-10-22,Mercy James,2.1130434782608694,2.733483907396951
2019-10-22,Ward 6B,2.21713403653203,2.21713403653203
2019-10-23,Administration,1.8268933539412675,2.90867440439829
2019-10-23,Guardian Shelter,1.4958003216774884,2.2729026036644164
2019-10-23,Lighthouse Clinic,3.2009377093101143,3.2135570010270453
2019-10-23,Lions Sight,2.21191381495564,3.3722448979591837
2019-10-23,Malaria,1.645431217226375,2.0406140070354972
2019-10-23,Mercy James,2.18077900084674,2.626047220106626
2019-10-23,Ward 6B,2.3677192982456137,3.0365562008882816
2019-10-23,uMoyo,1.4436168369998268,1.6038630972551675
2019-10-24,Administration,2.267785479751915,3.3186512758201703
2019-10-24,Guardian Shelter,1.2062128752608765,3.6986479459178367
2019-10-24,Lighthouse Clinic,1.7892462004651055,5.531177829099307
2019-10-24,Lions Sight,2.0282131661442007,3.432245922208281
2019-10-24,Malaria,1.8299319727891155,2.496527777777778
2019-10-24,Mercy James,2.0282131661442007,4.159253945480631
2019-10-24,Ward 6B,2.665500349895032,4.3742289239204935
2019-10-24,uMoyo,1.445043169432368,3.837237977805179
2019-10-25,Administration,2.4527252502780863,3.9753134796238245
2019-10-25,Guardian Shelter,1.1125305278978022,6.360041623309053
2019-10-25,Lighthouse Clinic,2.2624740758814204,3.5024566000655093
2019-10-25,Lions Sight,1.9804785894206547,6.95984251968504
2019-10-25,Malaria,1.8180388044048243,3.466622162883845
2019-10-25,Mercy James,1.9804785894206547,8.416772554002542
2019-10-25,Ward 6B,3.3607198748043823,8.928834703714205
2019-10-25,uMoyo,2.2595896520963423,3.5331325301204823
2019-10-26,Administration,3.4614652711703138,4.332671300893744
2019-10-26,Guardian Shelter,1.2108764229872446,5.162666666666667
2019-10-26,Lighthouse Clinic,2.261511030311506,3.6452599388379205
2019-10-26,Lions Sight,3.98404255319149,6.141456582633054
2019-10-26,Malaria,1.8526672311600338,3.1937394247038915
2019-10-26,Mercy James,2.29342492639843,5.536661466458659
2019-10-26,Ward 6B,3.3980016652789344,5.661707632600258
2019-10-26,uMoyo,1.8526672311600338,3.1937394247038915
2019-10-27,Administration,3.2514693534844668,8.188253968253967
2019-10-27,Guardian Shelter,1.1187842064112588,3.3759442184776294
2019-10-27,Lighthouse Clinic,2.3152226524685386,3.358733472512178
2019-10-27,Lions Sight,3.462074978204011,5.73913043478261
2019-10-27,Malaria,1.8670234664470977,3.087632508833922
2019-10-27,Mercy James,2.2337962962962963,4.871444823663253
2019-10-27,Ward 6B,2.6798212956068506,6.238636363636363
2019-10-27,uMoyo,1.8670234664470977,3.087632508833922
2019-10-28,Administration,1.8805970149253728,6.336180124223603
2019-10-28,Guardian Shelter,1.1180874147551145,1.418271383788625
2019-10-28,Lighthouse Clinic,2.066102997694082,3.9447682486816538
2019-10-28,Lions Sight,3.566013628620102,8.60388639760837
2019-10-28,Malaria,2.5080515297906603,5.911724137931034
2019-10-28,Mercy James,2.933488372093023,10.239380309845078
2019-10-28,Ward 6B,1.57777115613826,3.773474178403756
2019-10-28,uMoyo,2.5080515297906603,5.911724137931034
2019-10-29,Administration,1.7343546284224252,2.1096479441010483
2019-10-29,Guardian Shelter,1.303438713255685,3.4958097395243484
2019-10-29,Lighthouse Clinic,2.153064188207958,3.9686077162712676
2019-10-29,Lions Sight,2.4862385321100917,6.475748930099858
2019-10-29,Malaria,2.163380281690141,3.6195414847161573
2019-10-29,Mercy James,2.5568970721400546,6.420723226703755
2019-10-29,Ward 6B,1.4969760715224822,2.8585812356979403
2019-10-29,uMoyo,2.163380281690141,3.6195414847161573
2019-10-30,Administration,1.781655034895314,2.0699445983379503
2019-10-30,Guardian Shelter,1.4492219492219494,2.010659060201171
2019-10-30,Lighthouse Clinic,1.3744189322439782,2.9283598667160313
2019-10-30,Lions Sight,2.1925363276089826,3.7442686470778175
2019-10-30,Malaria,1.4499234303215929,2.172687861271677
2019-10-30,Mercy James,1.4818600471751096,2.5337386018237082
2019-10-30,Ward 6B,1.3744189322439782,2.562303664921466
